aid,attribute
412,Acad Shumakov Fed Res Ctr Transplantol & Artifici
413,Acad Sinica
414,Acad Sinica ASIAA
415,Acad Teaching Hosp Feldkirch
416,Acad Univ
417,Acad V I Shumakov Fed Res
418,Acad Ziekenhuis
419,Acad Ziekenhuis Maastricht
420,Academia
421,Academia Sin
422,Academy Sci Res & Technol Arab Republ Egypt
423,Acambis Inc
424,Accademia Navale Livorno
425,Acceleron Pharma Inc
426,Access BIO
427,Access Bio Inc
428,Access Community Hlth Ctr
429,Accreditat Council Grad Med Educ
430,Accudata Solut
431,Accuray Inc
432,Aceitera Gen Deheza SA
433,AcelRx
434,AcelRx Pharmaceut Inc
435,Achaogen
436,Achaogen Inc
437,Acharya NG Ranga Agr Univ
438,AchieveGlobal
439,Acibadem Med Sch
440,Acibadem Mehmet Ali Aydinlar Univ
441,Acibadem Univ
442,Acorda Therapeut Inc
443,Act Layer Parametr
444,Actel Pharmaceut Ltd
445,Action & Res Community Hlth
446,ActoGeniX NV
447,Acuario Veracruz AC
448,Acupuncture & Holist Vet Serv
449,Acute Care Surg Med Coll Wisconsin
450,Adam Mickiewicz Univ
451,Adamas Pharmaceut
452,Adams State Univ
453,Adana Numune Training & Res Hosp
454,Adana Sci & Technol Univ
455,Adapt Biotechnol
456,Adapt Biotechnol Corp
457,Adapt Biotechnol Inc
458,Adapt Intelligent Syst LLC
459,Adapt Knowledge Management
460,Adaptimmune LLC
461,Added Value Solut
462,Addenbrookes Hosp
463,Addgene
464,Addis Ababa City Govt
465,Addis Ababa Univ
466,Adelphi Univ
467,Adelphi Values
468,Adelphi Values Ltd
469,Adena Springs
470,Adena Springs Farm
471,Adisseo NACA
472,Adiyam Univ
473,Adiyaman Univ
474,Adiyarnan Univ
475,Adler Planetarium
476,Adler Planetarium & Astron Museum
477,Adler Sch Profess Psychol
478,Adm Bur Wuyishan Natl Nat Reserve
479,Adm Florida Dept Hlth
480,Admiraal De Ruyter Hosp
481,Adnan Menderes Univ
482,Adobe Res
483,Adria Civil Hosp
484,Adria Hosp
485,Adrian Coll
486,Adrienne Helis Melvin Med Res Fdn
487,Adult Bone Marrow Transplant Serv
488,Adult Liver Transplant Yale New Haven Transplanta
489,Adult Res Inc
490,Adv Accelerator Applicat
491,Adv Accelerator Applicat Inc
492,Adv Accelerator Applicat USA
493,Adv Arm Dynam
494,Adv Audiol Grp
495,Adv Clin Res Inst
496,Adv Crit Care Emergency & Specialty Serv Los Ange
497,Adv Digital Sci Ctr
498,Adv Equine Podiatry
499,Adv Hlth Castleridge
500,Adv Inst Mfg High Tech Innovat
501,Adv Intervent Inst
502,Adv Med Imaging & Genet Amigen
503,Adv Neurosci Network Tenet South Florida
504,Adv Pain Management
505,Adv Pain Therapy PLLC
506,Adv Radiol Serv
507,Adv Reprod Associates LLC
508,Adv Res Inst
509,Adv Technol
510,Adv Technol & Regenerat Med
511,Adv Urol Inst
512,Adv Vet Care Ctr
513,Adv Zenith Healthcare
514,Advansta Inc
515,Adventist Univ Hlth Sci
516,Advertek Inc
517,Advertek Louisville
518,Advocate Childrens Hosp
519,Advocate Christ Community Hosp
520,Advocate Christ Med Ctr
521,Advocate Good Shepherd Hosp
522,Advocate Heart Inst
523,Advocate Illinois Mason Med Ctr
524,Advocate Illinois Masonic Med Ctr
525,Advocate Lutheran Gen Hosp
526,Adynxx Inc
527,Aegis Sci Corp
528,Aeglea BioTherapeut
529,Aero Noise Prop Lab
530,AeroDynam Solut
531,Aerodyne Res Inc
532,Aerosol Dynam Inc
533,Aerosp Corp
534,Aesthet Acad
535,Aetna
536,Aetna Fdn
537,AfaSci Inc
538,AfaSci Res Labs
539,Affiliate Stanford Hlth Alliance
540,Affiliated Arm Shoulder & Hand Surg
541,Affiliated Hosp 1
542,Affiliated Hosp Guiyang Med Coll
543,Affiliated Pet Emergency Serv
544,Affiliated Res Inst Inc
545,Affiliated Vet Specialists
546,Affiliated Vet Specialists Internal Med
547,Affymetrix
548,Affymetrix Inc
549,Affymetrix UK Ltd
550,Aflac Canc Ctr Childrens Healthcare Atlanta
551,Africa Biomed Labs
552,Africa Geog
553,Africa Hlth Res Inst
554,Africa Mental Hlth Fdn
555,Africa Rice Ctr
556,Africa Rice Ctr AfricaRice
557,AfricaRice
558,African Arts Editorial Consortium
559,African Butterfly Res Inst
560,African Comprehens HIV AIDS Partnerships
561,African Conservat Ctr
562,African Conservat Trust
563,African Inst Math Sci
564,African Med & Res Fdn USA
565,African Methodist Episcopal Church Serv & Dev Agc
566,African Org Res & Training Canc
567,African Org Res & Training Canc AORTIC
568,African Populat & Hlth Res Ctr
569,African Renaissance Ambassador Corp
570,African Wildlife Fdn
571,Afton Chem Co
572,Ag Harvester
573,AgBiome Inc
574,AgCenter
575,AgCtr
576,AgMIP Rice Team
577,AgRes Grasslands
578,AgRes Grasslands Res Ctr
579,AgResearch
580,AgResearch Ltd
581,Aga Khan Hosp Dar Es Salaam
582,Aga Khan Hosp Kisumu
583,Aga Khan Hosp Mombasa
584,Aga Khan Med Univ Hosp
585,Aga Khan Univ
586,Aga Khan Univ Hosp
587,Agathe ISIR
588,Agawam High Sch
589,Agcy Def Dev
590,Agcy Healthcare Res & Qual
591,Agcy Hlth Care Adm
592,Agcy Hlth Qual & Assessment Catalonia AQuAS
593,Agcy Sci Technol & Res
594,Agcy Sustainable Syst Sci & Technol Inc
595,Agence Med Prevent
596,Agence Natl Parcs Nationaux
597,Agence Reg Dante ARS Guadeloupe St Martin & St Ba
598,Agencia Paulista Tecnol Agronegocios
599,Agencia Regulac & Control Bioseguridad & Cuarente
600,Agencia Salut Publ Barcelona
601,Agency Hlth Qual & Assessment Catalonia AQuAS
602,Agennix Inc
603,Agensi Nuklear Malaysia
604,Agenzia Ambiente
605,Agenzia Prov Protonterapia
606,Agenzia Reg Sanita Toscana
607,Agenzia Spaziale Italiana
608,Agenzia Spaziale Italiana Sci Data Ctr
609,Agere Syst
610,Agharkar Res Inst
611,Agil Clin
612,Agile Therapeut
613,Agile Therapeut Inc
614,Agile Therapeutics Inc
615,Agilent Technol
616,Agilent Technol India Pvt Ltd
617,Agilis Biotherapeut
618,Agios Loukas Hosp
619,Agios Lukas Hosp
620,Aglaia Kyriakou Childrens Hosp
621,Agnes Scott Coll
622,Agnitron Technol Inc
623,Agr & Agri Food Canada
624,Agr & Agri Foods
625,Agr & Livestock Res Enterprise Minas Gerais EPAMI
626,Agr & Nat Resources Ctr
627,Agr Agri Food Canada
628,Agr Agrifood Canada
629,Agr Biotechnol Res Inst Iran
630,Agr Commissioners Off
631,Agr Fisheries & Conservat Dept
632,Agr Food & Resource Econ
633,Agr Inst Slovenia
634,Agr Mkt Serv
635,Agr Res Co Minas Gerais Epamig
636,Agr Res Corp
637,Agr Res Council
638,Agr Res Council Grain Crops Inst
639,Agr Res Council Plant Hlth & Protect
640,Agr Res Councile ARC PPRI
641,Agr Res Ctr
642,Agr Res Educ & Extens Org AREEO
643,Agr Res Inst
644,Agr Res Org
645,Agr Res Serv
646,Agr Sci Ctr N
647,Agr Univ Athens
648,Agr Univ Georgia
649,Agr Univ Hebei
650,Agr Univ Krakow
651,Agr Victoria Res
652,Agrarian Univ Georgia
653,Agri Biotech Fdn
654,Agri Food & Biosci Inst
655,Agri Sci Queensland
656,AgriFoods
657,AgriTech Interface
658,Agricen Sci
659,Agrifood Res & Technol Ctr Aragon CITA
660,AgroParisTech
661,Agrocampus Ouest
662,Agron Inst Campinas
663,Agron Inst Parana State IAPAR
664,Agron Inst Pernambuco IPA
665,Agron Res Stn
666,Agron Serv
667,Agroscope
668,Agroscope Liebefeld Posieux Res Stn
669,Agroscope Liebefeld Posieux Res Stn ALP
670,Agroscope Liebefeld Posieux Res Stn ALP Haras
671,Agroscope Reckenholz Tanikon Res Stn ART
672,Agteca Amazon
673,Ahi Evran Univ
674,Ahmadu Bello Univ
675,Ahmanson UCLA Cardiomyopathy Ctr
676,Ahmanson Univ Calif Los Angeles
677,Ahmed Maher Teaching Hosp
678,Ahsanullah Univ Sci & Technol
679,Ahvaz Jundishapur Univ Med Sci
680,Ai Solut Inc
681,Aichi Canc Ctr
682,Aichi Canc Ctr Hosp
683,Aichi Canc Ctr Res Inst
684,Aichi Gakuin Univ
685,Aichi Human Serv Ctr
686,Aichi Med Univ
687,Ain Shams Univ
688,Aintree Univ
689,Aintree Univ Hosp NHS Fdn Trust
690,Aintree Univ Hosp Natl Hlth Serv Fdn Trust
691,Air Force Gen Hosp
692,Air Force Inst Technol
693,Air Force Med Support Agcy
694,Air Force Off Sci Res
695,Air Force Res Lab
696,Air Force Res Lab AFRL
697,Air Force Res Lab Munit Directorate
698,Air Force Special Operat Command
699,Air Prod & Chem Inc
700,Airborne Res Consultants
701,Airbus
702,Airbus Def & Space
703,Aix Marseille Ubivers
704,Aix Marseille Univ
705,Aizawa Hosp
706,Ajinomoto Co Inc
707,Ajou Univ
708,Akay Flavours & Aromat Pvt Ltd
709,Akdeniz Univ
710,Akershus Univ Hosp
711,Akeso Hlth Sci
712,Akita Prefectural Univ
713,Akita Univ
714,Akron Biotechnol
715,Akron Childrens Hosp
716,Akron City Hosp
717,Akron Gen Hosp
718,Akron Gen Med Ctr
719,Akron Zoo
720,Al Ain Hosp
721,Al Ain Wildlife Pk & Resort
722,Al Ain Zoo
723,Al Albayt Univ
724,Al Azhar Univ
725,Al Baha Univ
726,Al Balqa Appl Univ
727,Al Faisal Univ
728,Al Farabi Kazakh Natl Univ
729,Al Imam Muhammad Ibn Saud Islamic Univ
730,Al Jalila Fdn Res Ctr
731,Al Mansoura Fac Med
732,Al Noor Hosp
733,Al Shifa Trust Eye Hosp
734,AlPlanta
735,AlST
736,Alabama A&M Univ
737,Alabama Dept Publ Hlth
738,Alabama Liver & Digest Specialists
739,Alabama Neurol & Sleep Med
740,Alabama Pain Ctr
741,Alachua Cty Anim Serv
742,Alachua Cty Fire Rescue
743,Alachua Cty Forever Land Conservat Program
744,Alachua Cty Org Rural Needs Inc
745,Alachua Cty Publ Sch
746,Alameda Hlth Syst
747,Alamo Med Res
748,Alan Turing Inst
749,Alaska Colorectal Canc Partnership
750,Alaska Dept Fish & Game
751,Alaska Dept Labor
752,Alaska Div Geol & Geophys Surveys
753,Alaska Ecosci
754,Alaska Native Tribal Hlth Consortium
755,Alaska SeaLife Ctr
756,Alaska Vet Pathol
757,Alaska Vet Pathol Serv
758,Alba Therapeut Corp
759,AlbaNova
760,AlbaNova Univ Ctr
761,Albalqa Appl Univ
762,Albany Coll Pharm & Hlth Sci
763,Albany Med Coll
764,Albany Med Ctr
765,Albany Med Ctr Hosp
766,Albany Nephrol Pharm Grp
767,Albany Stratton Dept Vet Affairs VA Med Ctr
768,Albany Stratton VA Med Ctr
769,Albert B Chandler Hosp
770,Albert Einstein Canc Ctr
771,Albert Einstein Coll Med
772,Albert Einstein Ctr Fdn Phys
773,Albert Einstein Ctr Fundamental Phys
774,Albert Einstein Hosp
775,Albert Einstein Ins
776,Albert Einstein Inst
777,Albert Einstein Med Ctr
778,Albert Einstein Univ
779,Albert Ludwigs Univ
780,Albert Ludwigs Univ Freiburg
781,Alberta Agr & Forestry
782,Alberta Agr & Rural Dev
783,Alberta Childrens Prov Gen Hosp
784,Alberta Diabet Inst
785,Alberta Heart Inst
786,Alberta Hlth Serv
787,Alberystwyth Univ
788,Albion Coll
789,Albion Fisheries Res Ctr
790,Alborz Univ Med Sci
791,Albuquerque Biopk
792,Albury Hosp
793,Alcaldia Mayor Bogota
794,Alcatel Lucent
795,Alcatel Lucent Bell Labs
796,Alcoa Primary Met Technol
797,Alcoa Tech Ctr
798,Alcobra Inc
799,Alcohol
800,Alcohol & Drug Res Western Norway
801,Alcohol Res Ctr
802,Alcohol Tobacco & Other Drug Res Unit
803,Alcon
804,Alcon Inc
805,Alcon Labs Inc
806,Alcon Res Ltd
807,Alcon Vis Care R&D
808,Alcon Vis Care Res
809,Alcorn Mcbride Inc
810,Alcorn State Univ
811,Alden Resources
812,Alder Hey Childrens Hosp
813,Alder Hey Childrens NHS Fdn Trust
814,Alderson Broaddus Coll
815,Alderson Broaddus Univ
816,Aldeyra Therapeut
817,Aldo Moro Univ
818,Alegent Heathcare
819,Alegent Hlth Phys Med & Rehabil Clin
820,Alere Wellbeing
821,Aleris Int Inc
822,Alexander Technol Educ Inst
823,Alexander von Humboldt Biol Resources Res Inst
824,Alexandra Gen Hosp Athens
825,Alexandra Ioan Cuza Univ Iasi
826,Alexandria Univ
827,Alexian Bros Med Ctr
828,Alfaisal Univ
829,Alfred & Monash Univ
830,Alfred Hlth
831,Alfred Hosp
832,Alfred I DuPont Hosp Children
833,Alfred I Dupont Hosp Children
834,Alfred I duPont Hosp Children
835,Alfred Univ
836,Alfred Wegener Inst
837,Alfred Wegener Inst Helmholtz Ctr Polar & Marin
838,Alfred Wegener Inst Helmholtz Ctr Polar & Marine
839,Alfred Wegener Inst Polar & Marine Res
840,Alfred Wegener Inst Polar & Marine Res AWI
841,Alfredo Paredes Univ Cent
842,Algemeen Ziekenhuis Delta
843,Algemeen Ziekenhuis St Jan
844,Algoma Univ
845,Algynomics
846,Alice Lloyd Coll
847,Aligarh Muslim Univ
848,Align Technol Inc
849,Alikhanov Inst Theoret & Expt Phys
850,Alikhaov Inst Theoret & Expt Phys
851,Alimera Sci
852,All Anim Eye Care
853,All Childrens Hosp
854,All Childrens Hosp Johns Hopkins Med
855,All Childrens Hosp Outpatient Care Ctr
856,All Domin Driver Training & Traff Educ Ctr
857,All India Inst Med Sci
858,All Ireland Inst Hosp & Palliat Care
859,All Out Africa Fdn
860,All Pets Dent
861,All Russia Inst Elect Engn
862,All Russia Res Inst Vet Virol & Microbiol
863,All Russian Inst Plant Protect
864,All Things Bugs
865,All Things Bugs LLC
866,AllTranz
867,AllTranz Inc
868,Allama Iqbal Med Coll
869,Allama Iqbal Open Univ
870,Allegheny Brain & Spine Surg
871,Allegheny Coll
872,Allegheny Gen Hosp
873,Allegheny Hlth Network
874,Allegheny Hlth Network Canc Inst
875,Allegheny Singer Res Inst
876,Allegiance Hlth
877,Allen Inst Brain Sci
878,Allen Inst Cell Biol
879,Allenort Hosp
880,Allergan
881,Allergan Plc
882,Allergy & Asthma Med Grp & Res Ctr
883,Allergy Partners NJ
884,Alliance Aging Res
885,Alliance Charter Sch Employees
886,Alliance Clin Trials Oncol
887,Alliance Contracept Cats & Dogs
888,Alliance Publ Hlth
889,Alliance Stat & Data Ctr
890,Alliancells Inst Stem Cells & Translat Regenerat
891,Alliant Int Univ
892,Allina Hlth
893,Alloy LLC
894,Alltech
895,Alltech Inc
896,Alltech Univ Kentucky Nutr Res Alliance
897,Allylix Inc
898,Alma Coll
899,Alma Mater Studiorum Univ
900,Alma Mater Studiorum Univ Bologna
901,Almaarefa Coll Sci & Technol
902,Alnylam Pharmaceut
903,Alnylam Pharmaceut Inc
904,Alpen Adria Univ Klagenfurt
905,Alpert Brown Med Sch
906,Alpha 1 Ctr
907,Alpha 1 Fdn
908,Alpha 3T MRI & Diagnost Imaging
909,Alstom Grid
910,Alta Planning Design
911,Alta Vista Anim Hosp
912,Alta Vista Hosp
913,Altai State Univ
914,Altair Engn
915,Altea Res
916,Altenburg & Wymenga Ecol Consultants
917,Altenburg & Wymenga Ecol Res
918,Alterra
919,Alterra Green World Res
920,Alterra Ltd
921,Alton Mental Hlth Ctr
922,Altoona Reg Hlth Syst
923,Altrecht Acad Anxiety Ctr
924,Altrecht Mental Hlth Inst
925,Altreos Partners
926,Altschuler Periodont & Implant Ctr
927,Alva10
928,Alvernia Univ
929,Alzheimer Ctr
930,Alzheimer Scotland Dementia Res Ctr
931,Alzheimers & Dementia
932,Alzheimers & Epilepsy Res Programs
933,Alzheimers Assoc
934,Alzheimers Drug Discovery
935,Alzheimers Drug Discovery Fdn
936,Alzheimers Fdn Amer
937,Alzimio HealthAppy
938,Amal Geriatr Hosp
939,Amala Canc Res Ctr
940,Amarex Clin Res
941,Amarex Clin Res LLC
942,Amazon
943,Amazon Com
944,Amazon Com Inc
945,Amazon Conservat Team
946,Amazon Ctr Environm Educ & Res Fdn
947,Amazon Inc
948,Amazon Web Serv
949,Ambler Pediat
950,Ambrose Alli Univ
951,Ambulatorio Veterinario Associato
952,Ambulatory Care MU Hlth Care Syst
953,Amec Foster Wheeler
954,Amer Acad Clin Neuropsychol
955,Amer Acad Family Phys
956,Amer Acad Neurol
957,Amer Acad Nurse Practitioners Certificat Board
958,Amer Acad Nursing Expert Panel Global Hlth & Nurs
959,Amer Acad Orthopaed Surg
960,Amer Acad Otolaryngol Head & Neck Surg Fdn
961,Amer Acad Pain Med
962,Amer Acad Pediat
963,Amer Acad Pediat Comm Pediat Emergency Med
964,Amer Acad Pediat Julius B Richmond Ctr Excellence
965,Amer Acad Sleep Med
966,Amer Anesthesiol N Carolina MEDNAX
967,Amer Assoc
968,Amer Assoc Adv Sci Policy Fellow
969,Amer Assoc Advancement Sci
970,Amer Assoc Canc Res
971,Amer Assoc Coll Pharm
972,Amer Assoc Colleges Pharm
973,Amer Assoc Dent Res
974,Amer Assoc Immunologists
